Actor/Actress	Movie	Year
ABERCROMBIE, IAN	THE MOLLY MAGUIRES	1970
ACKLAND, JOSS	THE HOUSE THAT DRIPPED BLOOD	1971
ADAMS, BROOKE (I)	AMERICAN PLAYHOUSE	1981
ADAMS, BROOKE (I)	MURDERS IN THE RUE MORGUE	1971
ADAMS, MASON (I)	AMERICAN PLAYHOUSE	1981
AIDEM, BETSY	AMERICAN PLAYHOUSE	1981
ALDA, RUTANYA	PAT GARRETT & BILLY THE KID	1973
ALDREDGE, TOM	AMERICAN PLAYHOUSE	1981
ALEXANDER, JANE (I)	THE GREAT WHITE HOPE	1970
ALI, MUHAMMAD (I)	A.K.A. CASSIUS CLAY	1970
ALICE, MARY (I)	AMERICAN PLAYHOUSE	1981
ALLEN, JOAN (I)	AMERICAN PLAYHOUSE	1981
ALLEN, WOODY	BANANAS	1971
ALVARADO, TRINI	AMERICAN PLAYHOUSE	1981
AMOS, JOHN (I)	VANISHING POINT	1971
ANDREI, DAMIR	AMERICAN PLAYHOUSE	1981
ANDROSKY, CAROLE	LITTLE BIG MAN	1970
ANTONIO, JIM	THE WALTONS	1971
ARANHA, RAY	AMERICAN PLAYHOUSE	1981
ARGO, VICTOR	THE WALTONS	1971
ARKIN, ALAN	AMERICAN PLAYHOUSE	1981
ARMSTRONG, R.G.	MAJOR DUNDEE	1965
ARMSTRONG, R.G.	PAT GARRETT & BILLY THE KID	1973
ARMSTRONG, R.G.	J.W. COOP	1971
ARMSTRONG, R.G.	THE GREAT WHITE HOPE	1970
ARMUS, SIDNEY	WHO IS HARRY KELLERMAN AND WHY IS HE SAYING THOSE TERRIBLE THINGS ABOUT ME?	1971
ARNOLD, MADISON	AMERICAN PLAYHOUSE	1981
ARQUETTE, ALEXIS	AMERICAN PLAYHOUSE	1981
ARQUETTE, LEWIS	THE WALTONS	1971
ASKEW, LUKE (I)	ANGEL UNCHAINED	1970
ASKEW, LUKE (I)	PAT GARRETT & BILLY THE KID	1973
ASKEW, LUKE (I)	FLAREUP	1969
ASNER, EDWARD	THEY CALL ME MISTER TIBBS!	1970
ASNER, EDWARD	HALLS OF ANGER	1970
AUBERJONOIS, RENE	MASH	1970
AVERY, MARGARET	AMERICAN PLAYHOUSE	1981
AVERY, VAL	KING CREOLE	1958
AVERY, VAL	THE BROTHERHOOD	1968
AVERY, VAL	VANISHING POINT	1971
AXELROD, JACK	BANANAS	1971
AZZARA, CANDICE	WHO IS HARRY KELLERMAN AND WHY IS HE SAYING THOSE TERRIBLE THINGS ABOUT ME?	1971
BACARELLA, MIKE	AMERICAN PLAYHOUSE	1981
BAKER, DYLAN (I)	AMERICAN PLAYHOUSE	1981
BAKER, JOE DON	ADAM AT SIX A.M.	1970
BAKER, KENNY (I)	STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK	1980
BAKER, KENNY (I)	STAR WARS	1977
BAKER, RAY (I)	AMERICAN PLAYHOUSE	1981
BALDWIN, STEPHEN (I)	AMERICAN PLAYHOUSE	1981
BAMMAN, GERRY	AMERICAN PLAYHOUSE	1981
BANCROFT, ANNE (I)	AMERICAN PLAYHOUSE	1981
BANKS, JONATHAN (I)	THE WALTONS	1971
BARANSKI, CHRISTINE	AMERICAN PLAYHOUSE	1981
BARTLETT, BONNIE	THE WALTONS	1971
BARTLETT, CAL	PAINT YOUR WAGON	1969
BARTY, BILLY	THE WALTONS	1971
BARTY, BILLY	ROUSTABOUT	1964
BASINGER, KIM	KILLJOY	1981
BASSETT, LINDA (I)	AMERICAN PLAYHOUSE	1981
BASSETT, WILLIAM	1776	1972
BATES, PAUL (I)	AMERICAN PLAYHOUSE	1981
