Actor/Actress	Movie	Year
AARON, CAROLINE	THE BROTHER FROM ANOTHER PLANET	1984
AARON, CAROLINE	DEAD AND ALIVE: THE RACE FOR GUS FARACE	1991
ABATEMARCO, TONY	SLEEPING WITH THE ENEMY	1991
ABELL, TIM	ON THE BLOCK	1990
ABERCROMBIE, IAN	PUPPET MASTER III: TOULON'S REVENGE	1991
ABERCROMBIE, IAN	ZANDALEE	1991
ABERCROMBIE, IAN	THE MOLLY MAGUIRES	1970
ABERNATHY, LOUISA	STREET SOLDIERS	1991
ABRAHAM, F. MURRAY	AMADEUS	1984
ABRAHAM, F. MURRAY	MOBSTERS	1991
ABRAHAM, F. MURRAY	BY THE SWORD	1991
ABRAHAM, F. MURRAY	THE BONFIRE OF THE VANITIES	1990
ACKLAND, JOSS	THE OBJECT OF BEAUTY	1991
ACKLAND, JOSS	A WOMAN NAMED JACKIE	1991
ACKLAND, JOSS	THE HOUSE THAT DRIPPED BLOOD	1971
ACOVONE, JAY	OUT FOR JUSTICE	1991
ADAMS, BROOKE (I)	AMERICAN PLAYHOUSE	1981
ADAMS, BROOKE (I)	SOMETIMES THEY COME BACK	1991
ADAMS, BROOKE (I)	MURDERS IN THE RUE MORGUE	1971
ADAMS, BROOKE (I)	THE UNBORN	1991
ADAMS, LYNNE (I)	CRUISING BAR	1989
ADAMS, MASON (I)	AMERICAN PLAYHOUSE	1981
ADAMS, MASON (I)	TOY SOLDIERS	1991
ADAMS, MASON (I)	SCREENPLAY	1986
ADLON, PAMELA	THE GATE II: TRESPASSERS	1990
AFFLECK, CASEY	LEMON SKY	1988
AGUILAR, CRIS	MCBAIN	1991
AGUILERA, CHRISTINA	AMERICAN MASTERS	1985
AIDEM, BETSY	AMERICAN PLAYHOUSE	1981
AIELLO, DANNY	ONCE UPON A TIME IN AMERICA	1984
AIELLO, DANNY	29TH STREET	1991
AIELLO, DANNY	HUDSON HAWK	1991
AIELLO, RICK	SWITCH	1991
AIELLO, RICK	ONE GOOD COP	1991
AIELLO, RICK	29TH STREET	1991
AIELLO, RICK	JUNGLE FEVER	1991
AKIN, PHILIP	THE BIG SLICE	1991
AKIN, PHILIP	MARRIED TO IT	1991
AKIN, PHILIP	DESCENDING ANGEL	1990
AKRAWI, MIKE	ZOO RADIO	1990
ALACCHI, CARL	SCANNERS II: THE NEW ORDER	1991
ALBERTINI DOW, ELLEN	BLOOD AND CONCRETE	1991
ALBRECHT, J. GRANT	VOODOO DAWN	1991
ALBRIGHT, DAN (I)	PARIS TROUT	1991
ALBRIGHT, DAN (I)	LIVIN' LARGE!	1991
ALDA, RUTANYA	PAT GARRETT & BILLY THE KID	1973
ALDA, RUTANYA	RAINBOW DRIVE	1990
ALDREDGE, TOM	AMERICAN PLAYHOUSE	1981
ALDREDGE, TOM	OTHER PEOPLE'S MONEY	1991
ALEXANDER, ERIKA	THE LAST BEST YEAR	1990
ALEXANDER, JANE (I)	AMERICAN MASTERS	1985
ALEXANDER, JANE (I)	THE GREAT WHITE HOPE	1970
ALEXANDER, JASON (I)	PRETTY WOMAN	1990
ALEXANDER, JASON (I)	FAVORITE SON	1988
ALEXANDER, NEWELL (I)	ZANDALEE	1991
ALEXANDER, NEWELL (I)	A CLIMATE FOR KILLING	1991
ALEXANDER, NEWELL (I)	KAZE NO TANI NO NAUSHIKA	1984
